feature_1,feature_2,mi_joint,mi_f1,mi_f2,mi_sum,lift,lift_pct
month,cons.price.idx,0.06415274295182657,0.026406581004977787,0.02108543313732829,0.047492014142306076,0.0166607288095205,35.08111650012977
cons.price.idx,contact,0.04917134716186579,0.02108543313732829,0.011645721145540237,0.032731154282868526,0.016440192878997263,50.22796549403103
cons.price.idx,cons.conf.idx,0.051168783668267215,0.02108543313732829,0.018715007530366423,0.03980044066769471,0.011368343000572503,28.563359625814343
month,cons.conf.idx,0.05556141577617308,0.026406581004977787,0.018715007530366423,0.04512158853534421,0.01043982724082887,23.137100398518204
cons.price.idx,previous,0.044342061702823406,0.02108543313732829,0.019268877762732103,0.04035431090006039,0.003987750802763014,9.881845864346172
month,day_of_week,0.02955936738770694,0.026406581004977787,0.00032199848153421917,0.026728579486512007,0.0028307879011949325,10.59086549146178
month,contact,0.04042242517559981,0.026406581004977787,0.011645721145540237,0.038052302150518025,0.0023701230250817856,6.228592992104999
cons.conf.idx,day_of_week,0.02106755858601779,0.018715007530366423,0.00032199848153421917,0.019037006011900642,0.0020305525741171476,10.666344134407396
age,education,0.0074791046346577,0.003708055353055628,0.0023896903228810638,0.006097745675936692,0.001381358958721008,22.653600726121027
cons.conf.idx,contact,0.03131657412884659,0.018715007530366423,0.011645721145540237,0.03036072867590666,0.0009558454529399324,3.148295494299061
job,education,0.0066441339123770975,0.0033120625277384824,0.0023896903228810638,0.005701752850619546,0.0009423810617575513,16.527918456780412
age,job,0.007941268514484765,0.003708055353055628,0.0033120625277384824,0.007020117880794111,0.0009211506336906546,13.12158355931275
euribor3m,cons.conf.idx,0.06412990600852549,0.04449776315007214,0.018715007530366423,0.06321277068043857,0.0009171353280869182,1.4508703197386177
emp.var.rate,education,0.04787818407711923,0.044612416163661725,0.0023896903228810638,0.04700210648654279,0.0008760775905764448,1.8639113351808505
emp.var.rate,day_of_week,0.04580646356220845,0.044612416163661725,0.00032199848153421917,0.044934414645195944,0.0008720489170125079,1.9407149818201557
cons.conf.idx,age,0.02322430063192336,0.018715007530366423,0.003708055353055628,0.02242306288342205,0.0008012377485013093,3.5732752151967833
nr.employed,day_of_week,0.06179972309769954,0.06073037592797911,0.00032199848153421917,0.06105237440951333,0.0007473486881862043,1.224110766230495
month,education,0.029471946194888562,0.026406581004977787,0.0023896903228810638,0.02879627132785885,0.000675674867029713,2.346397071123697
cons.price.idx,education,0.024108911919739216,0.02108543313732829,0.0023896903228810638,0.02347512346020935,0.0006337884595298653,2.6998301440422465
cons.price.idx,day_of_week,0.02198916653913249,0.02108543313732829,0.00032199848153421917,0.021407431618862507,0.0005817349202699822,2.7174437860046887
euribor3m,day_of_week,0.04537424980654787,0.04449776315007214,0.00032199848153421917,0.04481976163160636,0.0005544881749415115,1.2371511020051769
education,marital,0.004364638688151755,0.0023896903228810638,0.0014338512748518551,0.003823541597732919,0.000541097090418836,14.151724954154208
previous,day_of_week,0.020004877111206642,0.019268877762732103,0.00032199848153421917,0.019590876244266323,0.0004140008669403193,2.1132330263251253
previous,cons.conf.idx,0.038369195361524416,0.019268877762732103,0.018715007530366423,0.03798388529309853,0.0003853100684258898,1.0144040438535618
cons.conf.idx,marital,0.020512561040420922,0.018715007530366423,0.0014338512748518551,0.02014885880521828,0.00036370223520264255,1.8050761024165232
